기준년월,시도명,시군구명,국적명,업종분류명,사용금액
2015-10,경기도,과천시,이탈리아,유통.식품잡화,15000
2015-10,경기도,시흥시,멕시코,유통.할인점/슈퍼마켓,1278200
2015-10,경기도,남양주시,네덜란드,요식/유흥.한식,447500
2015-10,경기도,포천시,중국,농축수산물.인삼  및  건강제품,3895547
2015-10,경기도,파주시,중국,요식/유흥.양식,1298516
2015-10,경기도,구리시,러시아,요식/유흥.유흥주점,34200
2015-10,경기도,군포시,아랍에미레이트,유통.편의점,9000
2015-10,경기도,동두천시,미국,건강/미용.안경콘텍트렌즈,9308220
2015-10,경기도,안산시 단원구,오스트레일리아,유통.생활잡화,391520
2015-10,경기도,가평군,독일,요식/유흥.한식,71600
2015-10,경기도,오산시,영국,요식/유흥.한식,2180800
2015-10,경기도,고양시 일산서구,대만,의류/잡화.가방핸드백(가죽),287000
2015-10,경기도,성남시 수정구,이탈리아,유통.할인점/슈퍼마켓,47600
2015-10,경기도,수원시 팔달구,홍콩,요식/유흥.일반대중음식,307400
2015-10,경기도,의정부시,중국,요식/유흥.커피전문점,88732
2015-10,경기도,고양시 덕양구,일본,건강/미용.대중목욕탕,20000
2015-10,경기도,수원시 영통구,바레인,요식/유흥.일반대중음식,33600
2015-10,경기도,양주시,오스트레일리아,요식/유흥.한식,123600
2015-10,경기도,광명시,미국,문화/레져.서적,601500
2015-10,경기도,성남시 중원구,오스트레일리아,건강/미용.피부미용실,66000
2015-10,경기도,용인시 기흥구,홍콩,유통.쇼핑몰,16000
2015-10,경기도,고양시 일산동구,스페인,여행/교통.모텔여관기타숙박,220000
2015-10,경기도,안성시,인도네시아,유통.생활잡화,24000
2015-10,경기도,안양시 만안구,스웨덴,유통.편의점,3000
2015-10,경기도,용인시 수지구,오스트레일리아,문화/레져.전자오락실,8800
2015-10,경기도,수원시 권선구,미국,건강/미용.안경콘텍트렌즈,1153000
2015-10,경기도,용인시 처인구,싱가폴,문화/레져.종합레저타운/놀이동산,6510850
2015-10,경기도,안양시 동안구,미국,유통.연쇄점,7500
2015-10,경기도,연천군,카타르,건강/미용.화장품,15440
2015-10,경기도,김포시,카타르,유통.식품잡화,6600
2015-10,경기도,부천시,홍콩,요식/유흥.양식,120100
2015-10,경기도,양평군,영국,유통.식품잡화,6200
2015-10,경기도,광주시,일본,농축수산물.농수산물,120500
2015-10,경기도,수원시 장안구,영국,유통.편의점,20050
2015-10,경기도,의왕시,카타르,요식/유흥.커피전문점,18200
2015-10,경기도,화성시,싱가폴,자동차.주유소,100000
2015-10,경기도,성남시 분당구,스위스,요식/유흥.패스트푸드,147000
2015-10,경기도,이천시,중국,문화/레져.관광민예선물용품,1190306
2015-10,경기도,안산시 상록구,중국,요식/유흥.노래방,313808
2015-10,경기도,평택시,멕시코,요식/유흥.제과점,2700
2015-10,경기도,여주시,브라질,의류/잡화.남.여기성복,440400
2015-10,경기도,하남시,캐나다,요식/유흥.제과점,14500
