"sn","base_ym","search_rank_nm","srchwrd_nm","views_co","pt_value"
"1","201901","1","친구","69","24.21"
"2","201901","2","전학","20","7.02"
"3","201901","3","공부","15","5.26"
"4","201901","4","숨쉬기","13","4.56"
"5","201901","5","학원","11","3.86"
"6","201901","6","예비","11","3.86"
"7","201901","7","방학","9","3.16"
"8","201901","8","진로","8","2.81"
"9","201901","9","졸업식","7","2.46"
"10","201901","10","아빠","7","2.46"
"11","201901","11","자퇴","7","2.46"
"12","201901","12","입학","6","2.11"
"13","201901","13","생리","6","2.11"
"14","201901","14","초경","6","2.11"
"15","201901","15","관계","6","2.11"
"16","201901","16","엄마","6","2.11"
"17","201901","17","여자친구","6","2.11"
"18","201901","18","자해","11","3.86"
"19","201901","19","남친","5","1.75"
"20","201901","20","스트레스","5","1.75"
"21","201901","21","성격","5","1.75"
"22","201901","22","얼굴","5","1.75"
"23","201901","23","가족","5","1.75"
"24","201901","24","임신","4","1.4"
"25","201901","25","선생님","4","1.4"
"26","201901","26","검정고시","4","1.4"
"27","201901","27","졸업","4","1.4"
"28","201901","28","심리","4","1.4"
"29","201901","29","언니","4","1.4"
"30","201901","30","재수","4","1.4"
"31","201901","31","교회","4","1.4"
"32","201901","32","기분","4","1.4"
"33","201902","1","친구","51","21.7"
"34","201902","2","배정","14","5.96"
"35","201902","3","학기","14","5.96"
"36","201902","4","전학","11","4.68"
"37","201902","5","자퇴","11","4.68"
"38","201902","6","생리","10","4.26"
"39","201902","7","진로","9","3.83"
"40","201902","8","엄마","8","3.4"
"41","201902","9","대학교","7","2.98"
"42","201902","10","공부","7","2.98"
"43","201902","11","특성화고","9","3.83"
"44","201902","12","초경","5","2.13"
"45","201902","13","남자친구","5","2.13"
"46","201902","14","가슴","4","1.7"
"47","201902","15","숨쉬기","4","1.7"
"48","201902","16","선물","4","1.7"
"49","201902","17","아빠","4","1.7"
"50","201902","18","동생","4","1.7"
"51","201902","19","알바","4","1.7"
"52","201902","20","입학","4","1.7"
"53","201902","21","부모님","4","1.7"
"54","201902","22","청소년증","4","1.7"
"55","201902","23","중독","4","1.7"
"56","201902","24","자해","4","1.7"
"57","201902","25","관계","3","1.28"
"58","201902","26","호흡","3","1.28"
"59","201902","27","증상","3","1.28"
"60","201902","28","개학","3","1.28"
"61","201902","29","생일","3","1.28"
"62","201902","30","인문","3","1.28"
"63","201902","31","학원","3","1.28"
"64","201902","32","스트레스","3","1.28"
"65","201902","33","등록금","3","1.28"
"66","201902","34","다이어트","3","1.28"
"67","201903","1","친구","70","23.57"
"68","201903","2","전학","27","9.09"
"69","201903","3","자퇴","18","6.06"
"70","201903","4","공부","13","4.38"
"71","201903","5","생리","11","3.7"
"72","201903","6","관계","10","3.37"
"73","201903","7","자해","10","3.37"
"74","201903","8","학기","10","3.37"
"75","201903","9","진로","9","3.03"
"76","201903","10","알바","9","3.03"
"77","201903","11","학원","7","2.36"
"78","201903","12","엄마","7","2.36"
"79","201903","13","임신","6","2.02"
"80","201903","14","초경","6","2.02"
"81","201903","15","입학","6","2.02"
"82","201903","16","성격","5","1.68"
"83","201903","17","스트레스","5","1.68"
"84","201903","18","동생","5","1.68"
"85","201903","19","인문","5","1.68"
"86","201903","20","특성화고","5","1.68"
"87","201903","21","사회","5","1.68"
"88","201903","22","검정고시","4","1.35"
"89","201903","23","숨쉬기","4","1.35"
"90","201903","24","시간","4","1.35"
"91","201903","25","위로","4","1.35"
"92","201903","26","선생님","4","1.35"
"93","201903","27","우울증","4","1.35"
"94","201903","28","학교장","4","1.35"
"95","201903","29","청소년증","4","1.35"
"96","201903","30","취득","4","1.35"
"97","201903","31","심리상담","4","1.35"
"98","201903","32","발급","4","1.35"
"99","201903","33","공약","4","1.35"
"100","201904","1","친구","75","23.01"
"101","201904","2","전학","28","8.59"
"102","201904","3","자퇴","20","6.13"
"103","201904","4","시험","19","5.83"
"104","201904","5","관계","17","5.21"
"105","201904","6","공부","17","5.21"
"106","201904","7","생리","11","3.37"
"107","201904","8","알바","11","3.37"
"108","201904","9","주휴수당","10","3.07"
"109","201904","10","학원","9","2.76"
